method,read_ratio,reads,writes,total
dynamic,0.1,98.372669,183.716458,282.09
leveling,0.1,106.103891,702.745779,808.85
dynamic,0.2,145.888376,152.630936,298.52
leveling,0.2,187.870437,510.525195,698.40
dynamic,0.3,198.747203,138.165683,336.91
leveling,0.3,263.923579,323.140407,587.06
dynamic,0.4,251.521597,118.778167,370.30
leveling,0.4,334.889127,178.803711,513.69
dynamic,0.5,296.937922,100.508206,397.45
leveling,0.5,371.634243,112.806087,484.44
dynamic,0.6,343.646372,82.729359,426.38
leveling,0.6,396.405045,91.314825,487.72
dynamic,0.7,371.43485,62.08856,433.52
leveling,0.7,427.934935,67.941791,495.88
dynamic,0.8,395.596372,41.743701,437.34
leveling,0.8,449.571008,44.896419,494.47
dynamic,0.9,416.868406,21.168589,438.04
leveling,0.9,456.469977,22.728706,479.20
